Date,BEV,PHEV
01/01/11,1,18
02/01/11,1,4
03/01/11,0,16
04/01/11,2,9
05/01/11,3,20
06/01/11,0,16
07/01/11,1,2
08/01/11,3,12
09/01/11,0,26
10/01/11,1,24
11/01/11,31,28
12/01/11,37,24
01/01/12,23,14
02/01/12,7,28
03/01/12,10,60
04/01/12,14,71
05/01/12,10,43
06/01/12,12,40
07/01/12,6,87
08/01/12,16,77
09/01/12,19,114
10/01/12,31,222
11/01/12,27,226
12/01/12,33,218
01/01/13,41,69
02/01/13,34,95
03/01/13,90,62
04/01/13,57,61
05/01/13,33,54
06/01/13,66,58
07/01/13,38,66
08/01/13,31,104
09/01/13,49,99
10/01/13,45,99
11/01/13,33,87
12/01/13,56,108
01/01/14,32,50
02/01/14,21,49
03/01/14,27,61
04/01/14,55,72
05/01/14,33,116
06/01/14,39,131
07/01/14,50,112
08/01/14,41,111
09/01/14,52,75
10/01/14,72,64
11/01/14,51,63
12/01/14,78,52
01/01/15,76,31
02/01/15,27,49
03/01/15,60,42
04/01/15,60,28
05/01/15,79,52
06/01/15,66,66
07/01/15,54,55
08/01/15,58,59
09/01/15,71,55
10/01/15,62,70
11/01/15,67,95
12/01/15,63,98
01/01/16,55,74
02/01/16,33,68
03/01/16,45,93
04/01/16,59,83
05/01/16,54,88
06/01/16,70,115
07/01/16,97,125
08/01/16,135,138
09/01/16,86,104
10/01/16,103,74
11/01/16,81,141
12/01/16,60,204
01/01/17,135,116
02/01/17,56,157
03/01/17,138,156
04/01/17,116,119
05/01/17,100,170
06/01/17,67,111
07/01/17,140,144
08/01/17,102,152
09/01/17,136,144
10/01/17,158,145
11/01/17,109,147
12/01/17,186,240
01/01/18,130,149
02/01/18,120,187
03/01/18,142,197
04/01/18,170,187
05/01/18,183,227
06/01/18,194,189
07/01/18,275,160
08/01/18,429,176
09/01/18,394,220
10/01/18,609,225
11/01/18,451,253
12/01/18,718,314
